País;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Estados Unidos;16155,25;16691,5;17393,1;18036,65;18569,1;19417,144;20351,771;21239,303;22063,044;22886,238;23760,331
China;8570,348;9635,025;10534,526;11226,186;11218,281;11795,297;12796,752;13862,968;15066,667;16340,866;17706,631
Japão;6203,213;5155,716;4848,733;4382,42;4938,644;4841,221;4951,928;5085,741;5163,766;5261,878;5368,188
Alemanha;3545,946;3753,687;3885,44;3365,293;3466,639;3423,287;3512,565;3617,086;3727,659;3827,696;3923,415
Reino Unido;2655,458;2721,489;3002,394;2863,304;2629,188;2496,757;2543,413;2607,85;2689,841;2780,859;2873,371
França;2682,901;2809,39;2843,673;2420,163;2463,222;2420,44;2483,199;2562,275;2650,237;2734,095;2815,343
Índia;1828,12;1857,237;2033,652;2088,155;2256,397;2454,458;2685,703;2959,667;3252,721;3577,126;3935,267
Itália;2073,971;2131,157;2155,153;1825,82;1850,735;1807,425;1838,47;1879,41;1922,214;1960,248;1993,574
Brasil;2464,053;2471,718;2456,054;1801,482;1798,622;2140,94;2238,426;2340,842;2447,245;2560,124;2676,272
Canadá;1824,289;1842,627;1792,883;1552,808;1529,224;1600,265;1656,389;1719,451;1783,36;1847,902;1912,805
Coreia do Sul;1222,807;1305,605;1411,334;1382,764;1411,246;1498,074;1552,98;1617,436;1684,815;1756,265;1829,011
Rússia;2170,145;2230,624;2063,663;1365,865;1280,731;1560,706;1611,453;1654,091;1712,024;1781,72;1840,856
Austrália;1561,052;1509,639;1449,336;1229,706;1258,978;1359,723;1427,822;1497,523;1568,064;1636,249;1709,807
Espanha;1336,685;1362,202;1378,042;1193,556;1232,597;1232,44;1272,617;1320,076;1368,153;1411,763;1451,813
México;1186,602;1261,983;1298,404;1151,04;1046,002;987,303;1032,363;1094,601;1153,302;1217,791;1283,972
Indonésia;919,002;916,646;891,051;861,143;932,448;1020,515;1113,07;1206,146;1320,139;1465,842;1615,556
Turquia;873,696;950,328;934,072;859,04;857,429;793,698;827,981;876,633;930,556;982,31;1031,523
Países Baixos;829,406;866,951;881,033;750,696;771,163;762,694;783,799;807,668;832,664;855,278;876,016
Suíça;664,902;685,104;702,736;670,656;659,85;659,368;672,766;688,506;705,344;721,355;737,014
Arábia Saudita;735,975;746,647;756,35;651,757;639,617;707,379;740,123;762,998;785,936;816,832;837,254
Argentina;579,666;611,471;563,614;631,621;545,124;628,935;658,129;711,893;775,217;840,353;908,327
Taiwan;495,919;511,599;530,515;525,236;528,55;566,757;580,392;594,998;614,897;636,116;655,412
Suécia;543,881;578,742;573,818;495,694;511,397;507,046;530,997;554,94;578,415;603,349;629,383
Polônia;500,836;524,382;545,053;477,058;467,591;482,92;510,541;539,46;568,284;600,017;633,199
Bélgica;498,16;520,254;532,607;455,336;466,96;462,715;476,135;491,686;508,55;525,121;540,852
Tailândia;397,56;420,529;406,521;399,219;406,949;432,898;458,876;486,47;512,919;539,34;519,05
Nigéria;460,952;514,965;568,496;493,841;405,952;400,621;472,07;557,417;613,061;633,914;656,933
Áustria;407,677;428,382;439,073;377,157;386,752;383,509;395,902;409,205;422,657;434,815;446,048
