País;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
China;15235,77;16689,398;18228,356;19695,741;21291,766;23194,411;25176,32;27272,307;29463,872;31804,229;34316,492
Estados Unidos;16155,25;16691,5;17393,1;18036,65;18569,1;19417,144;20351,771;21239,303;22063,044;22886,238;23760,331
Índia;6211,273;6724,372;7336,19;8003,405;8662,35;9489,302;10447,315;11508,275;12670,367;13972,741;15426,544
Japão;4727,06;4899,49;5003,954;5118,682;5237,79;5420,228;5574,051;5744,531;5872,682;6035,986;6200,871
Alemanha;3560,051;3638,966;3763,229;3860,114;3980,282;4134,668;4291,993;4448,206;4596,475;4746,806;4902,402
Rússia;3628,401;3734,166;3828,323;3759,692;3799,696;3938,001;4084,301;4236,503;4386,777;4542,772;4706,846
Brasil;3087,963;3232,119;3306,57;3216,167;3141,335;3216,031;3345,5;3485,682;3627,101;3774,494;3929,806
Indonésia;2344,876;2515,16;2688,373;2849,796;3032,092;3257,123;3506,524;3776,949;4065,047;4375,497;4712,191
Reino Unido;2406,416;2492,009;2614,515;2700,627;2785,563;2905,392;3013,714;3129,295;3253,353;3382,991;3519,591
França;2487,573;2542,312;2604,306;2665,863;2733,678;2833,064;2944,262;3061,482;3179,317;3303,082;3434,45
México;2008,788;2068,99;2153,744;2234,153;2315,654;2406,199;2508,193;2632,681;2757,805;2890,842;3030,887
Itália;2109,008;2106,032;2146,177;2186,256;2234,5;2303,108;2373,845;2445,326;2514,602;2587,343;2663,622
Turquia;1507,895;1662,355;1779,545;1907,647;1988,331;2082,079;2199,072;2324,35;2461,195;2605,572;2749,575
Coreia do Sul;1624,581;1698,628;1786,816;1856,431;1934,033;2029,706;2133,962;2246,795;2361,986;2484,037;2613,499
Arábia Saudita;1470,997;1534,714;1619,658;1704,307;1750,864;1796,205;1860,539;1939,199;2005,776;2085,961;2174,135
Espanha;1500,012;1498,263;1546,12;1612,81;1686,889;1768,816;1845,837;1924,9;2001,223;2077,083;2154,296
Canadá;1475,931;1536,886;1604,535;1637,068;1682,364;1752,91;1827,208;1901,713;1974,989;2051,266;2131,634
Irã;1283,534;1279,33;1354,946;1347,453;1454,517;1535,491;1636,831;1747,242;1862,069;1983,876;2113,821
Austrália;1017,782;1056,101;1105,11;1143,643;1187,321;1251,416;1317,793;1386,36;1454,459;1525,973;1599,584
Tailândia;998,289;1042,129;1070,489;1113,83;1164,929;1226,407;1294,783;1366,038;1436,932;1510,518;1588,726
Egito;923,741;969,653;1015,794;1071,611;1132,366;1197,967;1279,53;1376,97;1486,216;1607,132;1738,23
Taiwan;984,404;1022,333;1082,482;1102;1132,142;1177,052;1225,858;1278,073;1334,173;1394,99;1459,62
Nigéria;909,731;974,29;1054,309;1093,92;1091,228;1124,627;1171,565;1219,652;1266,679;1315,678;1367,355
Polônia;889,152;916,078;963,089;1011,813;1054,132;1114,105;1175,86;1237,607;1299,489;1362,483;1428,522
