"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.02.2024","128.049","128.216","128.896","127.805","4,67M","-0,13%"
"08.02.2024","128.217","129.950","130.126","127.912","13,63M","-1,33%"
"07.02.2024","129.950","130.412","130.552","129.426","15,43M","-0,36%"
"06.02.2024","130.416","127.593","130.417","127.593","13,78M","2,21%"
"05.02.2024","127.593","127.182","127.834","126.443","9,64M","0,32%"
"02.02.2024","127.182","128.471","128.878","126.628","10,98M","-1,01%"
"01.02.2024","128.481","127.752","128.481","127.284","10,23M","0,57%"
"31.01.2024","127.752","127.402","129.558","127.326","12,50M","0,28%"
"30.01.2024","127.402","128.492","128.492","127.105","10,04M","-0,86%"
"29.01.2024","128.503","128.970","129.068","127.853","8,76M","-0,36%"
"26.01.2024","128.967","128.164","129.252","127.869","8,51M","0,62%"
"25.01.2024","128.169","127.815","128.697","127.803","8,76M","0,28%"
"24.01.2024","127.816","128.275","129.446","127.680","8,82M","-0,35%"
"23.01.2024","128.263","126.612","128.331","126.612","9,37M","1,31%"
"22.01.2024","126.602","127.636","127.843","126.118","9,51M","-0,81%"
"19.01.2024","127.636","127.319","127.820","126.533","11,96M","0,25%"
"18.01.2024","127.316","128.524","129.047","127.316","12,46M","-0,94%"
"17.01.2024","128.524","129.293","129.296","128.312","9,95M","-0,60%"
"16.01.2024","129.294","131.515","131.517","129.147","11,91M","-1,69%"
"15.01.2024","131.521","130.988","131.606","130.253","5,75M","0,96%"
"12.01.2024","130.265","130.652","131.927","130.265","390,93K","-0,29%"
"11.01.2024","130.649","130.841","131.308","129.898","9,76M","-0,15%"
"10.01.2024","130.841","131.447","131.628","130.438","8,96M","-0,46%"
"09.01.2024","131.447","132.424","132.426","131.203","9,29M","-0,74%"
"08.01.2024","132.427","132.023","132.498","131.015","8,50M","0,31%"
